omere_eol_rank,srniel_damage_rank,formula,material_id,ranking_metric_pct,ranking_metric_source,pmax_rf_mid_pct,pmax_grf_mid_pct,pmax_ddde_mev_per_g,pmax_ddde_to_p_mev_per_g,pmax_dddp_mev_per_g,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
11,51,HoSO,JVASP-46072,97.5947,Pmax GRF mid,97.6754,97.5947,113425000.0,61270000.0,632611000.0,True,7.200,7.2,True,HoSO,HoSO,C:\LUMENS\sadc_edit_active_pilot_20260523_115749\candidate_niel\NIEL_e_HoSO_JVASP-46072.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115749\candidate_niel\NIEL_p_HoSO_JVASP-46072.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/51_HoSO_JVASP-46072.dat
12,12,Ta2Te4Br10O,JVASP-31871,97.5746,Pmax GRF mid,97.6552,97.5746,84080300.0,45418400.0,655030000.0,False,5.238,5.238,True,Ta2Te4Br10O,Ta2Te4Br10O,C:\LUMENS\sadc_edit_active_pilot_20260523_105432\candidate_niel\NIEL_e_Ta2Te4Br10O_JVASP-31871.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105432\candidate_niel\NIEL_p_Ta2Te4Br10O_JVASP-31871.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/12_Ta2Te4Br10O_JVASP-31871.dat
13,50,MoWSe2S2,JVASP-28698,97.5495,Pmax GRF mid,97.6301,97.5495,95470400.0,51571100.0,657076000.0,True,5.282,5.282,True,MoWSe2S2,MoWSe2S2,C:\LUMENS\sadc_edit_active_pilot_20260523_115611\candidate_niel\NIEL_e_MoWSe2S2_JVASP-28698.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115611\candidate_niel\NIEL_p_MoWSe2S2_JVASP-28698.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/50_MoWSe2S2_JVASP-28698.dat
14,10,AlBiO3,JVASP-11273,97.4824,Pmax GRF mid,97.563,97.4824,243611000.0,131594000.0,599020000.0,False,6.414,6.414,True,AlBiO3,AlBiO3,C:\LUMENS\sadc_edit_active_pilot_20260523_105118\candidate_niel\NIEL_e_AlBiO3_JVASP-11273.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105118\candidate_niel\NIEL_p_AlBiO3_JVASP-11273.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/10_AlBiO3_JVASP-11273.dat
15,52,Te2Mo3WS6,JVASP-28699,97.4718,Pmax GRF mid,97.5524,97.4718,125068000.0,67559100.0,666533000.0,True,4.659,4.659,True,Te2Mo3WS6,Te2Mo3WS6,C:\LUMENS\sadc_edit_active_pilot_20260523_115927\candidate_niel\NIEL_e_Te2Mo3WS6_JVASP-28699.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115927\candidate_niel\NIEL_p_Te2Mo3WS6_JVASP-28699.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/52_Te2Mo3WS6_JVASP-28699.dat
16,11,CuAs2Pb6Cl7O6,JVASP-53178,97.4173,Pmax GRF mid,97.4978,97.4173,211485000.0,114240000.0,637801000.0,False,6.141,6.141,True,CuAs2Pb6Cl7O6,CuAs2Pb6Cl7O6,C:\LUMENS\sadc_edit_active_pilot_20260523_105255\candidate_niel\NIEL_e_CuAs2Pb6Cl7O6_JVASP-53178.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105255\candidate_niel\NIEL_p_CuAs2Pb6Cl7O6_JVASP-53178.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/11_CuAs2Pb6Cl7O6_JVASP-53178.dat
17,13,Cd2GaAgSe4,JVASP-108799,97.3584,Pmax GRF mid,97.4389,97.3584,106478000.0,57517000.0,714009000.0,False,5.335,5.335,True,Cd2GaAgSe4,Cd2GaAgSe4,C:\LUMENS\sadc_edit_active_pilot_20260523_105609\candidate_niel\NIEL_e_Cd2GaAgSe4_JVASP-108799.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105609\candidate_niel\NIEL_p_Cd2GaAgSe4_JVASP-108799.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/13_Cd2GaAgSe4_JVASP-108799.dat
18,54,VRhO4,JVASP-42957,97.3316,Pmax GRF mid,97.412,97.3316,60354000.0,32602000.0,747825000.0,True,5.824,5.824,True,VRhO4,VRhO4,C:\LUMENS\sadc_edit_active_pilot_20260523_120243\candidate_niel\NIEL_e_VRhO4_JVASP-42957.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120243\candidate_niel\NIEL_p_VRhO4_JVASP-42957.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/54_VRhO4_JVASP-42957.dat
19,14,Na2WO4,JVASP-11669,97.3187,Pmax GRF mid,97.3991,97.3187,240616000.0,129976000.0,654731000.0,False,5.092,5.092,True,Na2WO4,Na2WO4,C:\LUMENS\sadc_edit_active_pilot_20260523_105745\candidate_niel\NIEL_e_Na2WO4_JVASP-11669.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105745\candidate_niel\NIEL_p_Na2WO4_JVASP-11669.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/14_Na2WO4_JVASP-11669.dat
20,53,Ca3PbO,JVASP-17656,97.2661,Pmax GRF mid,97.3465,97.2661,150461000.0,81275600.0,720948000.0,True,5.060,5.06,True,Ca3PbO,Ca3PbO,C:\LUMENS\sadc_edit_active_pilot_20260523_120105\candidate_niel\NIEL_e_Ca3PbO_JVASP-17656.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120105\candidate_niel\NIEL_p_Ca3PbO_JVASP-17656.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/53_Ca3PbO_JVASP-17656.dat
21,55,Mg2Mo3O8,JVASP-19255,97.2501,Pmax GRF mid,97.3305,97.2501,98184600.0,53037200.0,754539000.0,True,5.327,5.327,True,Mg2Mo3O8,Mg2Mo3O8,C:\LUMENS\sadc_edit_active_pilot_20260523_120421\candidate_niel\NIEL_e_Mg2Mo3O8_JVASP-19255.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120421\candidate_niel\NIEL_p_Mg2Mo3O8_JVASP-19255.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/55_Mg2Mo3O8_JVASP-19255.dat
22,24,SrZrS3,JVASP-21271,97.2056,Pmax GRF mid,97.2859,97.2056,42850500.0,23146900.0,799326000.0,False,3.859,3.859,True,SrZrS3,SrZrS3,C:\LUMENS\sadc_edit_active_pilot_20260523_111356\candidate_niel\NIEL_e_SrZrS3_JVASP-21271.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111356\candidate_niel\NIEL_p_SrZrS3_JVASP-21271.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/24_SrZrS3_JVASP-21271.dat
23,27,ScS,JVASP-19725,97.1195,Pmax GRF mid,97.1997,97.1195,19260900.0,10404300.0,841044000.0,False,3.609,3.609,True,ScS,ScS,C:\LUMENS\sadc_edit_active_pilot_20260523_111847\candidate_niel\NIEL_e_ScS_JVASP-19725.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111847\candidate_niel\NIEL_p_ScS_JVASP-19725.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/27_ScS_JVASP-19725.dat
24,7,NbBi3O7,JVASP-13254,97.1097,Pmax GRF mid,97.19,97.1097,548891000.0,296499000.0,558235000.0,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
25,23,Ag3PO4,JVASP-9585,97.0525,Pmax GRF mid,97.1328,97.0525,207514000.0,112095000.0,761997000.0,False,6.284,6.284,True,Ag3PO4,Ag3PO4,C:\LUMENS\sadc_edit_active_pilot_20260523_111220\candidate_niel\NIEL_e_Ag3PO4_JVASP-9585.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111220\candidate_niel\NIEL_p_Ag3PO4_JVASP-9585.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/23_Ag3PO4_JVASP-9585.dat
26,17,HfS3,JVASP-8218,97.024,Pmax GRF mid,97.1042,97.024,342699000.0,185119000.0,698649000.0,False,5.523,5.523,True,HfS3,HfS3,C:\LUMENS\sadc_edit_active_pilot_20260523_110237\candidate_niel\NIEL_e_HfS3_JVASP-8218.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110237\candidate_niel\NIEL_p_HfS3_JVASP-8218.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/17_HfS3_JVASP-8218.dat
27,25,P2Se5,JVASP-5590,96.9757,Pmax GRF mid,97.0559,96.9757,145354000.0,78517300.0,821707000.0,False,4.029,4.029,True,P2Se5,P2Se5,C:\LUMENS\sadc_edit_active_pilot_20260523_111533\candidate_niel\NIEL_e_P2Se5_JVASP-5590.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111533\candidate_niel\NIEL_p_P2Se5_JVASP-5590.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/25_P2Se5_JVASP-5590.dat
28,19,InAgS2,JVASP-12383,96.9748,Pmax GRF mid,97.0549,96.9748,221844000.0,119836000.0,780708000.0,False,4.775,4.775,True,InAgS2,InAgS2,C:\LUMENS\sadc_edit_active_pilot_20260523_110551\candidate_niel\NIEL_e_InAgS2_JVASP-12383.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110551\candidate_niel\NIEL_p_InAgS2_JVASP-12383.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/19_InAgS2_JVASP-12383.dat
29,59,ScVO4,JVASP-11823,96.9704,Pmax GRF mid,97.0506,96.9704,84822800.0,45819400.0,856205000.0,True,3.698,3.698,True,ScVO4,ScVO4,C:\LUMENS\sadc_edit_active_pilot_20260523_121053\candidate_niel\NIEL_e_ScVO4_JVASP-11823.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_121053\candidate_niel\NIEL_p_ScVO4_JVASP-11823.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/59_ScVO4_JVASP-11823.dat
30,56,Rb4CuSi2O7,JVASP-25574,96.9331,Pmax GRF mid,97.0133,96.9331,144033000.0,77803600.0,836973000.0,True,3.645,3.645,True,Rb4CuSi2O7,Rb4CuSi2O7,C:\LUMENS\sadc_edit_active_pilot_20260523_120559\candidate_niel\NIEL_e_Rb4CuSi2O7_JVASP-25574.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120559\candidate_niel\NIEL_p_Rb4CuSi2O7_JVASP-25574.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/56_Rb4CuSi2O7_JVASP-25574.dat
31,20,InS,JVASP-51076,96.9013,Pmax GRF mid,96.9814,96.9013,267704000.0,144608000.0,781068000.0,False,5.013,5.013,True,InS,InS,C:\LUMENS\sadc_edit_active_pilot_20260523_110728\candidate_niel\NIEL_e_InS_JVASP-51076.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110728\candidate_niel\NIEL_p_InS_JVASP-51076.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/20_InS_JVASP-51076.dat
32,21,BaAlSi,JVASP-17183,96.884,Pmax GRF mid,96.9641,96.884,391315000.0,211380000.0,720239000.0,False,3.797,3.797,True,BaAlSi,BaAlSi,C:\LUMENS\sadc_edit_active_pilot_20260523_110905\candidate_niel\NIEL_e_BaAlSi_JVASP-17183.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110905\candidate_niel\NIEL_p_BaAlSi_JVASP-17183.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/21_BaAlSi_JVASP-17183.dat
33,58,ZnO,JVASP-17188,96.8688,Pmax GRF mid,96.9488,96.8688,107464000.0,58049800.0,878813000.0,True,7.009,7.009,True,ZnO,ZnO,C:\LUMENS\sadc_edit_active_pilot_20260523_120915\candidate_niel\NIEL_e_ZnO_JVASP-17188.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120915\candidate_niel\NIEL_p_ZnO_JVASP-17188.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/58_ZnO_JVASP-17188.dat
34,60,Li3VB2O6,JVASP-40731,96.8413,Pmax GRF mid,96.9213,96.8413,232166000.0,125411000.0,820911000.0,True,2.768,2.768,True,Li3VB2O6,Li3VB2O6,C:\LUMENS\sadc_edit_active_pilot_20260523_121231\candidate_niel\NIEL_e_Li3VB2O6_JVASP-40731.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_121231\candidate_niel\NIEL_p_Li3VB2O6_JVASP-40731.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/60_Li3VB2O6_JVASP-40731.dat
35,62,CoC4N6,JVASP-59765,96.8173,Pmax GRF mid,96.8973,96.8173,186397000.0,100688000.0,853921000.0,True,2.219,2.219,True,CoC4N6,CoC4N6,C:\LUMENS\sadc_edit_active_pilot_20260523_121547\candidate_niel\NIEL_e_CoC4N6_JVASP-59765.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_121547\candidate_niel\NIEL_p_CoC4N6_JVASP-59765.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/62_CoC4N6_JVASP-59765.dat
36,57,NbS2,JVASP-574,96.8032,Pmax GRF mid,96.8832,96.8032,196070000.0,105913000.0,853552000.0,True,4.358,4.358,True,NbS2,NbS2,C:\LUMENS\sadc_edit_active_pilot_20260523_120737\candidate_niel\NIEL_e_NbS2_JVASP-574.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_120737\candidate_niel\NIEL_p_NbS2_JVASP-574.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/57_NbS2_JVASP-574.dat
37,26,Rb2As3,JVASP-11390,96.7248,Pmax GRF mid,96.8048,96.7248,272528000.0,147214000.0,839414000.0,False,3.757,3.757,True,Rb2As3,Rb2As3,C:\LUMENS\sadc_edit_active_pilot_20260523_111710\candidate_niel\NIEL_e_Rb2As3_JVASP-11390.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111710\candidate_niel\NIEL_p_Rb2As3_JVASP-11390.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/26_Rb2As3_JVASP-11390.dat
38,18,HgSO4,JVASP-9390,96.7025,Pmax GRF mid,96.7824,96.7025,586680000.0,316912000.0,677499000.0,False,6.271,6.271,True,HgSO4,HgSO4,C:\LUMENS\sadc_edit_active_pilot_20260523_110414\candidate_niel\NIEL_e_HgSO4_JVASP-9390.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110414\candidate_niel\NIEL_p_HgSO4_JVASP-9390.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/18_HgSO4_JVASP-9390.dat
39,31,Ga3BN4,JVASP-35152,96.6489,Pmax GRF mid,96.7288,96.6489,283946000.0,153382000.0,859740000.0,False,5.720,5.72,True,Ga3BN4,Ga3BN4,C:\LUMENS\sadc_edit_active_pilot_20260523_112516\candidate_niel\NIEL_e_Ga3BN4_JVASP-35152.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112516\candidate_niel\NIEL_p_Ga3BN4_JVASP-35152.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/31_Ga3BN4_JVASP-35152.dat
40,61,Na2GaNiF7,JVASP-57312,96.6006,Pmax GRF mid,96.6804,96.6006,252194000.0,136230000.0,893812000.0,True,3.726,3.726,True,Na2GaNiF7,Na2GaNiF7,C:\LUMENS\sadc_edit_active_pilot_20260523_121409\candidate_niel\NIEL_e_Na2GaNiF7_JVASP-57312.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_121409\candidate_niel\NIEL_p_Na2GaNiF7_JVASP-57312.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/61_Na2GaNiF7_JVASP-57312.dat
41,33,ScMo3O8,JVASP-12703,96.5875,Pmax GRF mid,96.6673,96.5875,316321000.0,170870000.0,863764000.0,False,5.514,5.514,True,ScMo3O8,ScMo3O8,C:\LUMENS\sadc_edit_active_pilot_20260523_112830\candidate_niel\NIEL_e_ScMo3O8_JVASP-12703.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112830\candidate_niel\NIEL_p_ScMo3O8_JVASP-12703.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/33_ScMo3O8_JVASP-12703.dat
42,34,CaSnS3,JVASP-40190,96.5752,Pmax GRF mid,96.6551,96.5752,270369000.0,146047000.0,892887000.0,False,3.905,3.905,True,CaSnS3,CaSnS3,C:\LUMENS\sadc_edit_active_pilot_20260523_113007\candidate_niel\NIEL_e_CaSnS3_JVASP-40190.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113007\candidate_niel\NIEL_p_CaSnS3_JVASP-40190.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/34_CaSnS3_JVASP-40190.dat
43,30,Ca3SnH2,JVASP-37879,96.5093,Pmax GRF mid,96.589,96.5093,345995000.0,186899000.0,875293000.0,False,3.071,3.071,True,Ca3SnH2,Ca3SnH2,C:\LUMENS\sadc_edit_active_pilot_20260523_112339\candidate_niel\NIEL_e_Ca3SnH2_JVASP-37879.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112339\candidate_niel\NIEL_p_Ca3SnH2_JVASP-37879.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/30_Ca3SnH2_JVASP-37879.dat
44,39,KP,JVASP-10123,96.3825,Pmax GRF mid,96.4622,96.3825,180761000.0,97643100.0,1009550000.0,False,2.104,2.104,True,KP,KP,C:\LUMENS\sadc_edit_active_pilot_20260523_113815\candidate_niel\NIEL_e_KP_JVASP-10123.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113815\candidate_niel\NIEL_p_KP_JVASP-10123.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/39_KP_JVASP-10123.dat
45,36,ZnS,JVASP-10591,96.3738,Pmax GRF mid,96.4535,96.3738,278714000.0,150555000.0,959748000.0,False,4.034,4.034,True,ZnS,ZnS,C:\LUMENS\sadc_edit_active_pilot_20260523_113322\candidate_niel\NIEL_e_ZnS_JVASP-10591.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113322\candidate_niel\NIEL_p_ZnS_JVASP-10591.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/36_ZnS_JVASP-10591.dat
46,22,GaAgTeSe,JVASP-109402,96.3643,Pmax GRF mid,96.4439,96.3643,596174000.0,322040000.0,791670000.0,False,5.623,5.623,True,GaAgTeSe,GaAgTeSe,C:\LUMENS\sadc_edit_active_pilot_20260523_111042\candidate_niel\NIEL_e_GaAgTeSe_JVASP-109402.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_111042\candidate_niel\NIEL_p_GaAgTeSe_JVASP-109402.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/22_GaAgTeSe_JVASP-109402.dat
47,29,GaAgP2Se6,JVASP-27498,96.1244,Pmax GRF mid,96.2039,96.1244,600627000.0,324446000.0,875722000.0,False,4.919,4.919,True,GaAgP2Se6,GaAgP2Se6,C:\LUMENS\sadc_edit_active_pilot_20260523_112201\candidate_niel\NIEL_e_GaAgP2Se6_JVASP-27498.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112201\candidate_niel\NIEL_p_GaAgP2Se6_JVASP-27498.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/29_GaAgP2Se6_JVASP-27498.dat
48,15,AlInSb2,JVASP-109795,96.1116,Pmax GRF mid,96.191,96.1116,836119000.0,451653000.0,753196000.0,False,4.846,4.846,True,AlInSb2,AlInSb2,C:\LUMENS\sadc_edit_active_pilot_20260523_105922\candidate_niel\NIEL_e_AlInSb2_JVASP-109795.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_105922\candidate_niel\NIEL_p_AlInSb2_JVASP-109795.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/15_AlInSb2_JVASP-109795.dat
