formula,material_id,element,site_label,site_ed_eV,multiplicity,best_direction,best_distance_angstrom,status,error
Li3VB2O6,JVASP-40731,O,O_fallback,28.0,6.0,,,fallback,QE failed for JVASP-40731_perf with code 1. See /scratch/local/33071358/lumens-ed-gpu-33071358/workspace/calculations/pipeline_JVASP-40731/ed/JVASP-40731_perf.out.
Mg2Mo3O8,JVASP-19255,Mg,Mg_fallback,10.0,2.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-19255_perf.run.in']' timed out after 300 seconds"
Mg2Mo3O8,JVASP-19255,Mo,Mo_fallback,33.0,3.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-19255_perf.run.in']' timed out after 300 seconds"
Mg2Mo3O8,JVASP-19255,O,O_fallback,28.0,8.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-19255_perf.run.in']' timed out after 300 seconds"
MgCu2O4,JVASP-9884,Mg,Mg_s0,6.26,2,[001],1.14535,ok,
MgCu2O4,JVASP-9884,Cu,Cu_s0,3.435,4,[001],1.074711,ok,
MgCu2O4,JVASP-9884,O,O_s0,3.802,8,[001],1.074711,ok,
MgCu2O4,JVASP-9908,Mg,Mg_s0,15.298,2,[001],2.190035,ok,
MgCu2O4,JVASP-9908,Cu,Cu_s0,8.614,4,[100],1.072287,ok,
MgCu2O4,JVASP-9908,O,O_s0,4.661,8,[001],1.072287,ok,
MoH2O4,JVASP-54713,Mo,Mo_s0,2.272,2,[010],0.3,ok,
MoH2O4,JVASP-54713,H,H_s0,1.679,4,[001],1.009167,ok,
MoH2O4,JVASP-54713,O,O_s0,6.718,8,[010],1.680787,ok,
MoWSe2S2,JVASP-28698,Mo,Mo_fallback,33.0,1.0,,,fallback,QE failed for JVASP-28698_perf with code 1. See /scratch/local/33070772/lumens-ed-gpu-33070772/workspace/calculations/pipeline_JVASP-28698/ed/JVASP-28698_perf.out.
MoWSe2S2,JVASP-28698,W,W_fallback,55.0,1.0,,,fallback,QE failed for JVASP-28698_perf with code 1. See /scratch/local/33070772/lumens-ed-gpu-33070772/workspace/calculations/pipeline_JVASP-28698/ed/JVASP-28698_perf.out.
MoWSe2S2,JVASP-28698,Se,Se_fallback,7.4,2.0,,,fallback,QE failed for JVASP-28698_perf with code 1. See /scratch/local/33070772/lumens-ed-gpu-33070772/workspace/calculations/pipeline_JVASP-28698/ed/JVASP-28698_perf.out.
MoWSe2S2,JVASP-28698,S,S_fallback,7.6,2.0,,,fallback,QE failed for JVASP-28698_perf with code 1. See /scratch/local/33070772/lumens-ed-gpu-33070772/workspace/calculations/pipeline_JVASP-28698/ed/JVASP-28698_perf.out.
Na2GaNiF7,JVASP-57312,Na,Na_fallback,8.0,2.0,,,fallback,QE failed for JVASP-57312_perf with code 1. See /scratch/local/33071148/lumens-ed-gpu-33071148/workspace/calculations/pipeline_JVASP-57312/ed/JVASP-57312_perf.out.
Na2GaNiF7,JVASP-57312,Ga,Ga_fallback,9.4,1.0,,,fallback,QE failed for JVASP-57312_perf with code 1. See /scratch/local/33071148/lumens-ed-gpu-33071148/workspace/calculations/pipeline_JVASP-57312/ed/JVASP-57312_perf.out.
Na2GaNiF7,JVASP-57312,Ni,Ni_fallback,23.0,1.0,,,fallback,QE failed for JVASP-57312_perf with code 1. See /scratch/local/33071148/lumens-ed-gpu-33071148/workspace/calculations/pipeline_JVASP-57312/ed/JVASP-57312_perf.out.
Na2GaNiF7,JVASP-57312,F,F_fallback,15.0,7.0,,,fallback,QE failed for JVASP-57312_perf with code 1. See /scratch/local/33071148/lumens-ed-gpu-33071148/workspace/calculations/pipeline_JVASP-57312/ed/JVASP-57312_perf.out.
Na2WO4,JVASP-11669,Na,Na_s0,27.677,4,[010],1.346686,ok,
Na2WO4,JVASP-11669,W,W_s0,19.987,2,[100],1.053162,ok,
Na2WO4,JVASP-11669,O,O_s0,7.052,8,[100],1.806324,ok,
Na3VS3O,JVASP-12252,Na,Na_s0,5.67,6,[100],1.307063,ok,
Na3VS3O,JVASP-12252,V,V_s0,2.908,2,[001],0.3,ok,
Na3VS3O,JVASP-12252,S,S_s0,5.331,6,[001],1.23785,ok,
Na3VS3O,JVASP-12252,O,O_s0,5.272,2,[010],1.687816,ok,
NaS,JVASP-9152,Na,Na_s0,2.013,6,[100],2.837809,ok,
NaS,JVASP-9152,S,S_s0,0.802,6,[001],0.3,ok,
NbBi3O7,JVASP-13254,Nb,Nb_s0,1.558,1,[001],0.3,ok,
NbBi3O7,JVASP-13254,Bi,Bi_s0,57.752,3,[001],1.268457,ok,
NbBi3O7,JVASP-13254,O,O_s0,0.691,7,[001],0.3,ok,
NbS2,JVASP-574,Nb,Nb_fallback,28.0,1.0,,,fallback,QE failed for JVASP-574_perf with code 1. See /scratch/local/33070893/lumens-ed-gpu-33070893/workspace/calculations/pipeline_JVASP-574/ed/JVASP-574_perf.out.
NbS2,JVASP-574,S,S_fallback,7.6,2.0,,,fallback,QE failed for JVASP-574_perf with code 1. See /scratch/local/33070893/lumens-ed-gpu-33070893/workspace/calculations/pipeline_JVASP-574/ed/JVASP-574_perf.out.
P2Se5,JVASP-5590,P,P_s0,8.7,8,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-5590_P_s0_[001]_1p298.run.in']' timed out after 300 seconds"
P2Se5,JVASP-5590,Se,Se_s0,7.4,20,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-5590_Se_s0_[100]_2p289.run.in']' timed out after 300 seconds"
PbS,JVASP-17941,Pb,Pb_s0,12.507,1,[100],1.727383,ok,
PbS,JVASP-17941,S,S_s0,7.6,1,,,fallback,No reliable compound-specific DFT Ed found in scan.
PtI2,JVASP-12896,Pt,Pt_s0,6.913,4,[001],1.463785,ok,
PtI2,JVASP-12896,I,I_s0,10.106,8,[100],2.6427,ok,
Rb2As3,JVASP-11390,Rb,Rb_s0,3.146,4,[100],1.966109,ok,
Rb2As3,JVASP-11390,As,As_s0,5.88,6,[010],2.432893,ok,
Rb4CuSi2O7,JVASP-25574,Rb,Rb_fallback,5.5,4.0,,,fallback,QE failed for JVASP-25574_perf with code 1. See /scratch/local/33071846/lumens-ed-gpu-33071846/workspace/calculations/pipeline_JVASP-25574/ed/JVASP-25574_perf.out.
Rb4CuSi2O7,JVASP-25574,Cu,Cu_fallback,19.0,1.0,,,fallback,QE failed for JVASP-25574_perf with code 1. See /scratch/local/33071846/lumens-ed-gpu-33071846/workspace/calculations/pipeline_JVASP-25574/ed/JVASP-25574_perf.out.
Rb4CuSi2O7,JVASP-25574,Si,Si_fallback,20.5,2.0,,,fallback,QE failed for JVASP-25574_perf with code 1. See /scratch/local/33071846/lumens-ed-gpu-33071846/workspace/calculations/pipeline_JVASP-25574/ed/JVASP-25574_perf.out.
Rb4CuSi2O7,JVASP-25574,O,O_fallback,28.0,7.0,,,fallback,QE failed for JVASP-25574_perf with code 1. See /scratch/local/33071846/lumens-ed-gpu-33071846/workspace/calculations/pipeline_JVASP-25574/ed/JVASP-25574_perf.out.
SCl2,JVASP-58833,S,S_s0,6.36,8,[100],2.054453,ok,
SCl2,JVASP-58833,Cl,Cl_s0,4.261,16,[100],2.030425,ok,
SbIrS,JVASP-10264,Sb,Sb_s0,47.815,4,[100],2.543658,ok,
SbIrS,JVASP-10264,Ir,Ir_s0,122.53,4,[010],2.485873,ok,
SbIrS,JVASP-10264,S,S_s0,24.467,4,[100],2.485873,ok,
ScMo3O8,JVASP-12703,Sc,Sc_s0,7.235,1,[001],1.199672,ok,
ScMo3O8,JVASP-12703,Mo,Mo_s0,7.526,3,[001],1.145422,ok,
ScMo3O8,JVASP-12703,O,O_s0,8.658,8,[010],1.162881,ok,
ScS,JVASP-19725,Sc,Sc_s0,46.408,1,[001],1.453534,ok,
ScS,JVASP-19725,S,S_s0,48.251,1,[100],1.453534,ok,
ScVO4,JVASP-11823,Sc,Sc_fallback,25.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-11823_perf.run.in']' timed out after 300 seconds"
ScVO4,JVASP-11823,V,V_fallback,28.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-11823_perf.run.in']' timed out after 300 seconds"
ScVO4,JVASP-11823,O,O_fallback,28.0,4.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-11823_perf.run.in']' timed out after 300 seconds"
Si,JVASP-25415,Si,Si_s0,4.733,4,[010],2.36451,ok,
SrTaNO2,JVASP-109687,Sr,Sr_s0,7.0,1,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-109687_Sr_s0_[100]_2p774.run.in']' timed out after 300 seconds"
SrTaNO2,JVASP-109687,Ta,Ta_s0,0.56,1,[010],0.3,ok,
SrTaNO2,JVASP-109687,N,N_s0,22.0,1,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-109687_N_s0_[100]_2p045.run.in']' timed out after 300 seconds"
SrTaNO2,JVASP-109687,O,O_s0,28.0,2,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-109687_O_s0_[010]_2p021.run.in']' timed out after 300 seconds"
SrZrS3,JVASP-21271,Sr,Sr_s0,19.813,4,[010],2.961796,ok,
SrZrS3,JVASP-21271,Zr,Zr_s0,20.172,4,[001],2.545107,ok,
SrZrS3,JVASP-21271,S,S_s0,21.908,12,[010],2.56521,ok,
Ta2Te4Br10O,JVASP-31871,Ta,Ta_s0,11.673,2,[010],1.898701,ok,
Ta2Te4Br10O,JVASP-31871,Te,Te_s0,9.079,4,[001],2.744439,ok,
Ta2Te4Br10O,JVASP-31871,Br,Br_s0,7.234,10,[001],2.49611,ok,
Ta2Te4Br10O,JVASP-31871,O,O_s0,7.082,1,[100],1.898701,ok,
Te2Mo3WS6,JVASP-28699,Te,Te_fallback,5.5,2.0,,,fallback,QE failed for JVASP-28699_perf with code 1. See /scratch/local/33071728/lumens-ed-gpu-33071728/workspace/calculations/pipeline_JVASP-28699/ed/JVASP-28699_perf.out.
Te2Mo3WS6,JVASP-28699,Mo,Mo_fallback,33.0,3.0,,,fallback,QE failed for JVASP-28699_perf with code 1. See /scratch/local/33071728/lumens-ed-gpu-33071728/workspace/calculations/pipeline_JVASP-28699/ed/JVASP-28699_perf.out.
Te2Mo3WS6,JVASP-28699,W,W_fallback,55.0,1.0,,,fallback,QE failed for JVASP-28699_perf with code 1. See /scratch/local/33071728/lumens-ed-gpu-33071728/workspace/calculations/pipeline_JVASP-28699/ed/JVASP-28699_perf.out.
Te2Mo3WS6,JVASP-28699,S,S_fallback,7.6,6.0,,,fallback,QE failed for JVASP-28699_perf with code 1. See /scratch/local/33071728/lumens-ed-gpu-33071728/workspace/calculations/pipeline_JVASP-28699/ed/JVASP-28699_perf.out.
TeMoWSe3,JVASP-28952,Te,Te_fallback,5.5,1.0,,,fallback,QE failed for JVASP-28952_perf with code 1. See /scratch/local/33071359/lumens-ed-gpu-33071359/workspace/calculations/pipeline_JVASP-28952/ed/JVASP-28952_perf.out.
TeMoWSe3,JVASP-28952,Mo,Mo_fallback,33.0,1.0,,,fallback,QE failed for JVASP-28952_perf with code 1. See /scratch/local/33071359/lumens-ed-gpu-33071359/workspace/calculations/pipeline_JVASP-28952/ed/JVASP-28952_perf.out.
TeMoWSe3,JVASP-28952,W,W_fallback,55.0,1.0,,,fallback,QE failed for JVASP-28952_perf with code 1. See /scratch/local/33071359/lumens-ed-gpu-33071359/workspace/calculations/pipeline_JVASP-28952/ed/JVASP-28952_perf.out.
TeMoWSe3,JVASP-28952,Se,Se_fallback,7.4,3.0,,,fallback,QE failed for JVASP-28952_perf with code 1. See /scratch/local/33071359/lumens-ed-gpu-33071359/workspace/calculations/pipeline_JVASP-28952/ed/JVASP-28952_perf.out.
VRhO4,JVASP-42957,V,V_fallback,28.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-42957_perf.run.in']' timed out after 300 seconds"
VRhO4,JVASP-42957,Rh,Rh_fallback,25.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-42957_perf.run.in']' timed out after 300 seconds"
VRhO4,JVASP-42957,O,O_fallback,28.0,4.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-42957_perf.run.in']' timed out after 300 seconds"
ZnBi2O5,JVASP-9800,Zn,Zn_s0,10.0,2,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-9800_Zn_s0_[100]_1p103.run.in']' timed out after 300 seconds"
ZnBi2O5,JVASP-9800,Bi,Bi_s0,8.0,4,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-9800_Bi_s0_[100]_1p219.run.in']' timed out after 300 seconds"
ZnBi2O5,JVASP-9800,O,O_s0,28.0,10,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-9800_O_s0_[100]_1p205.run.in']' timed out after 300 seconds"
ZnGeN2,JVASP-9374,Zn,Zn_s0,0.591,4,[001],0.3,ok,
ZnGeN2,JVASP-9374,Ge,Ge_s0,14.5,4,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-9374_Ge_s0_[010]_1p876.run.in']' timed out after 300 seconds"
ZnGeN2,JVASP-9374,N,N_s0,22.0,8,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-9374_N_s0_[001]_1p886.run.in']' timed out after 300 seconds"
ZnO,JVASP-17188,Zn,Zn_fallback,10.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-17188_perf.run.in']' timed out after 300 seconds"
ZnO,JVASP-17188,O,O_fallback,28.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-17188_perf.run.in']' timed out after 300 seconds"
ZnS,JVASP-10591,Zn,Zn_s0,4.311,6,[001],2.351943,ok,
ZnS,JVASP-10591,S,S_s0,24.075,6,[100],2.352535,ok,
